carrier,bus,2013-01-01,2013-01-08,2013-01-15,2013-01-22,2013-01-29,2013-02-05,2013-02-12,2013-02-19,2013-02-26,2013-03-05,2013-03-12,2013-03-19,2013-03-26,2013-04-02,2013-04-09,2013-04-16,2013-04-23,2013-04-30,2013-05-07,2013-05-14,2013-05-21,2013-05-28,2013-06-04,2013-06-11,2013-06-18,2013-06-25,2013-07-02,2013-07-09,2013-07-16,2013-07-23,2013-07-30,2013-08-06,2013-08-13,2013-08-20,2013-08-27,2013-09-03,2013-09-10,2013-09-17,2013-09-24,2013-10-01,2013-10-08,2013-10-15,2013-10-22,2013-10-29,2013-11-05,2013-11-12,2013-11-19,2013-11-26,2013-12-03,2013-12-10,2013-12-17,2013-12-24,2013-12-31
Solar,GB3 0,3.40739129601,7.41413255452,3.6332536718,4.33351055684,10.0406057443,7.04083967379,14.2541823362,17.1430114087,15.718129356,13.9176707205,19.0635401598,9.433514657,19.1997531669,38.5888844241,24.4292743324,31.7947963564,32.7714891617,25.3855922354,28.0399229386,27.9839666022,36.7635326992,35.9235015437,54.1371129065,21.4449465269,30.4418159918,24.3471651762,37.4697151041,45.6322592325,41.4447197905,32.625663042,33.7381558221,32.0991844576,25.5664011671,24.2756806674,23.482761586,30.4554916045,19.6507959269,17.6789614061,14.0466895707,10.2780397074,20.3992173149,10.1374572727,14.4062695865,16.8256835549,15.5267113656,9.02786851668,8.54143573598,3.87065863212,5.23614737536,6.58897205304,5.0318745709,7.53736061982,10.6428837956
Solar,LU1 0,2.28844368267,2.90089159684,2.49233462003,2.3567881057,1.80022691573,3.73938822058,4.72767591384,4.4031055471,6.50432717691,6.82311963586,7.36937293426,7.41985640787,10.0527770331,10.1034783942,9.08460827568,11.5548474905,11.3608968461,13.0277541464,8.43714418503,6.38891503019,8.9261175302,11.7882023372,13.9437543197,12.2721288631,11.2140121852,11.101036636,14.6352770501,18.2391964674,18.1500636535,11.4910009465,14.5140659277,11.8111144714,14.1569083529,10.4930660781,12.413064908,12.6726648609,5.96945528916,7.22670659309,10.7058428359,8.04015161839,4.01429411562,5.2508386706,4.7186278945,4.25359542681,2.53402335172,4.0479060285,3.47363989583,4.78998082821,3.21633479174,4.00251689568,3.19864089095,1.98699207803,7.21410750964
Solar,NL1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,NO2 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,PL1 0,799.5623219,636.417071949,450.83780874,657.711811245,975.847856749,1375.92744317,869.97876896,1094.49973491,2430.17769995,1970.60449635,2104.21428124,2206.90994113,1993.17862717,1831.82420808,3150.41485546,4617.40305705,3930.03090107,3084.5056048,3591.55988973,5237.9916525,3025.04808383,3208.98596778,3535.62572556,4796.2370738,4909.81966959,3194.30738036,5601.30047525,3866.72993076,5386.72385145,4939.55090354,4845.12063437,4790.78973639,4355.30264478,3741.43511515,3235.97013948,4674.9749885,2388.33656682,2086.40463317,2735.05565511,3286.09006087,2574.90960351,1929.43242284,2609.71304302,1777.86756368,1046.43535696,1108.22924317,887.31321698,984.113617769,1021.79799195,1120.77247802,1479.63260471,1374.39352808,1467.25628881
Solar,SE2 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,AT1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,BE1 0,268.0,268.0,268.0,268.0,0.0,268.0,268.0,268.0,268.0,268.0,268.0,0.0,268.0,268.0,0.0,0.0,0.0,268.0,0.0,247.18829797133913,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,268.0,268.0,0.0,0.0,0.0,268.0,0.0,268.0,0.0,7.805317440232898,268.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,268.0,268.0,268.0,268.0,0.0,0.0,0.0
biomass,CH1 0,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0862,0.0,86.0862,86.0862,86.0862,86.0862,0.0,0.0,0.0,0.0,0.0,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,86.0862,0.0,0.0
biomass,CZ1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
